cnt1,cnt,cnt.r,adm
AFGHANISTAN,AFG,AFG,2
ALGERIA,DZA,DZA,1
ANGOLA,AGO,AGO,2
BENIN,BEN,BEN,2
BOSNIA,BIH,BIH,2
BOTSWANA,BWA,BWA,2
BURKINA,BFA,BFA,2
BURUNDI,BDI,BDI,2
CAMBODIA,KHM,KHM,2
CAMEROON,CMR,CMR,2
CAR,CAF,CAF,2
CHAD,TCD,TCD,2
CONGO,COG,COG,2
DJIBOUTI,DJI,DJI,2
DRC1,COD,COD,2
DRC2,COD,COD,2
EGYPT,EGY,EGY,1
EQGUINEA,GNQ,GNQ,1
ERITREA,ERI,ERI,2
ETHIOPIA,ETH,ETH,2
GABON,GAB,GAB,2
GAMBIA,GMB,GMB,2
GHANA,GHA,GHA,2
GUINEA,GIN,GIN,2
GUINEABISSAU,GNB,GNB,2
HAITI,HTI,HTI,2
IVORYCOAST,CIV,CIV,2
KENYA,KEN,KEN,2
KOSOVO,KO-,SRB,2
LAOS,LAO,LAO,2
LESOTHO,LSO,LSO,1
LIBERIA,LBR,LBR,2
LIBYA,LBY,LBY,1
MACEDONIA,MKD,MKD,2
MADAGASCAR,MDG,MDG,2
MALAWI,MWI,MWI,2
MALI,MLI,MLI,2
MAURITANIA,MRT,MRT,2
MOROCCO,MAR,MAR,2
MOZAMBIQUE,MOZ,MOZ,2
MYANMAR,MMR,MMR,2
NAMIBIA,NAM,NAM,2
NEPAL,NPL,NPL,2
NIGER,NER,NER,2
NIGERIA,NGA,NGA,2
PAKISTAN,PAK,PAK,2
RWANDA,RWA,RWA,2
SENEGAL,SEN,SEN,2
SIERRALEONE,SLE,SLE,2
SOMALIA,SOM,SOM,2
SOUTHAFRICA,ZAF,ZAF,2
SUDAN,SDN,SDN,2
SWAZILAND,SWZ,SWZ,1
TANZANIA,TZA,TZA,2
TOGO,TGO,TGO,2
TUNISIA,TUN,TUN,2
UGANDA,UGA,UGA,2
ZAMBIA,ZMB,ZMB,2
ZIMBABWE,ZWE,ZWE,2
