war,cnt,cnt.r,adm,popdate
AFG1979,AFG,AFG,2,1990
AFG1992,AFG,AFG,2,1990
AFG2001,AFG,AFG,2,2000
DJI1991,DJI,DJI,2,1990
GEO1992,GEO,GEO,2,1990
HRV1991,HRV,HRV,2,1990
IRQ1980,IRQ,IRQ,2,1990
IRQ2003,IRQ,IRQ,2,2000
ISR1987,ISR,ISR,1,1990
KOS1991,KO-,SRB,2,1990
LBY2011,LBY,LBY,1,2000
LKA1983,LKA,LKA,2,1990
MDA1992,MDA,MDA,1,1990
MLI1989,MLI,MLI,2,1990
NIC1981,NIC,NIC,2,1990
NPL1996,NPL,NPL,2,1995
PER1980,PER,PER,2,1990
SLE1991,SLE,SLE,2,1990
SLV1979,SLV,SLV,2,1990
SOM1981,SOM,SOM,2,1990
SYR1979,SYR,SYR,2,1990
SYR2011,SYR,SYR,2,2000
TJK1992,TJK,TJK,2,1990
TUR1983,TUR,TUR,2,1990
YEM1986,YEM,YEM,2,1990
ZAF1983,ZAF,ZAF,2,1990
