CITY,POP,LAT,LONG,STATUS
Prishtina,"550,000",42.673,21.167,National capital
Prizren,"171,464",42.214,20.74,Provincial capital
Mitrovica,"107,045",42.883,20.867,Provincial capital
Gjakov,"94,158",42.38,20.431,Provincial capital
Pec,"81,800",42.659,20.288,Provincial capital
Suva Reka,"72,229",42.359,20.825,Provincial capital
Ferizaj,"59,504",42.371,21.155,Provincial capital
Glogovac,"58,579",42.628,20.894,Provincial capital
Gnjilane,"51,912",42.46,21.47,Provincial capital
Deçan,"50,500",42.54,20.288,Provincial capital
